Lead_ID,Counselling,Application,Enrolled
L00001,No,,yes
L00002,Y,N,yes
L00003,No,no,
L00004,no,N,yes
L00005,no,no,
L00006,Y,yes,
L00007,yes,Yes,No
L00008,no,,
L00009,Yes,,N
L00010,,,yes
L00011,N,,Y
L00012,Yes,N,N
L00013,No,Y,Yes
L00014,,,no
L00015,Yes,N,No
L00016,,,No
L00017,No,Y,yes
L00018,,yes,No
L00019,no,Yes,
L00020,Yes,No,Yes
L00021,,Yes,Y
L00022,Yes,Y,Y
L00023,Y,,No
L00024,No,No,yes
L00025,Y,Y,N
L00026,yes,N,No
L00027,,no,No
L00028,N,Y,no
L00029,Y,N,
L00030,,yes,
L00031,,no,no
L00032,,Yes,N
L00033,Yes,no,Y
L00034,,N,yes
L00035,,Yes,Y
L00036,,Yes,
L00037,Yes,yes,No
L00038,yes,,N
L00039,No,No,Y
L00040,,Y,no
L00041,No,no,Yes
L00042,N,yes,N
L00043,No,yes,Yes
L00044,,no,
L00045,yes,N,
L00046,no,No,No
L00047,no,Y,No
L00048,yes,yes,No
L00049,Y,Yes,
L00050,yes,No,
L00051,,Y,Y
L00052,no,no,N
L00053,N,yes,N
L00054,N,Y,Y
L00055,no,yes,
L00056,Y,Y,no
L00057,Yes,Yes,Y
L00058,Yes,Y,
L00059,Yes,N,
L00060,No,Yes,
L00061,no,no,no
L00062,,No,
L00063,,Y,Yes
L00064,yes,N,Y
L00065,,yes,
L00066,Y,no,no
L00067,,Y,No
L00068,no,,
L00069,Yes,,Yes
L00070,,no,
L00071,Y,no,no
L00072,yes,no,N
L00073,,,N
L00074,,no,
L00075,no,yes,
L00076,yes,Yes,no
L00077,no,Yes,no
L00078,no,N,Yes
L00079,,yes,
L00080,Yes,no,yes
L00081,,,Y
L00082,Y,yes,Yes
L00083,,no,N
L00084,,N,
L00085,N,,No
L00086,N,no,Yes
L00087,N,No,N
L00088,Yes,Yes,N
L00089,no,yes,
L00090,Yes,Y,No
L00091,no,N,Yes
L00092,,,
L00093,N,N,
L00094,N,no,No
L00095,Yes,Y,no
L00096,,,yes
L00097,no,,N
L00098,N,No,Y
L00099,No,N,yes
L00100,No,Yes,Yes
L00101,N,,
L00102,yes,no,Y
L00103,no,Y,yes
L00104,Yes,No,Y
L00105,no,Yes,no
L00106,Yes,Y,
L00107,yes,yes,yes
L00108,N,,Y
L00109,N,,Y
L00110,N,,Y
L00111,no,no,Y
L00112,yes,,No
L00113,Yes,No,No
L00114,Y,Y,No
L00115,N,,no
L00116,Yes,,
L00117,yes,yes,no
L00118,no,,yes
L00119,,Y,No
L00120,,No,yes
L00121,no,no,Y
L00122,yes,Yes,
L00123,,N,Yes
L00124,,Yes,N
L00125,no,,Y
L00126,,Yes,N
L00127,No,No,N
L00128,N,N,
L00129,Y,N,yes
L00130,yes,Yes,Yes
L00131,Y,no,N
L00132,yes,,no
L00133,Y,No,Yes
L00134,Yes,Y,N
L00135,yes,N,
L00136,,N,Y
L00137,no,,yes
L00138,Y,N,
L00139,Yes,Y,No
L00140,Yes,No,
L00141,,no,Y
L00142,N,,yes
L00143,Yes,No,Y
L00144,no,No,N
L00145,Yes,Y,Yes
L00146,Y,No,no
L00147,,no,N
L00148,no,Yes,N
L00149,N,,Yes
L00150,,,N
L00151,yes,no,No
L00152,no,no,N
L00153,yes,Y,yes
L00154,,N,
L00155,yes,Yes,Yes
L00156,yes,yes,yes
L00157,yes,No,
L00158,,Yes,N
L00159,,Y,
L00160,,,
L00161,,N,Y
L00162,N,No,N
L00163,,Y,Yes
L00164,,,N
L00165,no,No,
L00166,,Y,Yes
L00167,,Y,N
L00168,N,,
L00169,,Y,No
L00170,N,No,Yes
L00171,No,yes,no
L00172,,N,yes
L00173,,Yes,Y
L00174,No,No,N
L00175,,yes,no
L00176,,,no
L00177,,Yes,Yes
L00178,Yes,No,no
L00179,,,
L00180,Y,,Y
L00181,Y,Yes,N
L00182,N,yes,no
L00183,,,no
L00184,Y,Y,Yes
L00185,Yes,N,yes
L00186,,no,yes
L00187,Y,Yes,No
L00188,no,No,yes
L00189,,no,
L00190,N,Yes,no
L00191,N,Yes,No
L00192,No,no,
L00193,,Y,No
L00194,,No,Yes
L00195,N,No,No
L00196,,,
L00197,yes,Y,Yes
L00198,N,yes,
L00199,N,Yes,
L00200,N,yes,Y
L00201,Y,N,No
L00202,Yes,no,Yes
L00203,,No,Y
L00204,Yes,no,
L00205,,Yes,Y
L00206,no,No,
L00207,yes,,Yes
L00208,yes,no,
L00209,,No,
L00210,,No,No
L00211,Yes,,
L00212,Y,No,Y
L00213,,yes,
L00214,N,N,yes
L00215,no,no,yes
L00216,N,Y,No
L00217,no,No,Y
L00218,,Yes,
