Lead_ID,City,Course_Interest,Lead_Source,Date
L00001,Delhi,Business Analytics,Referral,13-04-2025
L00002,Chennai,AI/ML,,2025/06/29
L00003,,AI/ML,Website,2025/04/03
L00004,,AI/ML,Website,15-01-2025
L00005,Hyderabad,AI/ML,,17-04-2025
L00006,Kolkata,Business Analytics,Website,2025/03/13
L00007,Mumbai,Data Science,,
L00008,,Business Analytics,Website,2025/01/21
L00009,Pune,Data Science,Linkedin,2025/04/13
L00010,Hyderabad,,,2025/05/02
L00011,,AI/ML,Website,
L00012,Mumbai,data science,Instagram,2025/03/16
L00013,Mumbai,data science,,2025/03/29
L00014,,Data Science,instagram,2025/04/27
L00015,Kolkata,AI ml,Email Campaign,10-04-2025
L00016,Ahmedabad,AI ml,Campus Drive,2025/04/14
L00017,Ahmedabad,AI ml,Referral,2025/06/01
L00018,Bangalore,Business Analytics,instagram,2025/05/11
L00019,Bangalore,Data Science,,2025/05/30
L00020,Hyderabad,Data Analytics,Email Campaign,2025/02/22
L00021,Bangalore,,Campus Drive,2025/01/02
L00022,Bangalore,,Campus Drive,29-03-2025
L00023,,AI/ML,Website,2025/06/07
L00024,Ahmedabad,AI/ML,LinkedIn,2025/02/07
L00025,Bangalore,Business Analytics,Campus Drive,2025/05/10
L00026,,Data Science,Email Campaign,2025/01/21
L00027,Pune,Data Analytics,Instagram,2025/06/10
L00028,,,LinkedIn,2025/02/27
L00029,Kolkata,Data Science,Linkedin,2025/01/22
L00030,,Data Analytics,Website,2025/03/30
L00031,Hyderabad,data science,Instagram,2025/02/18
L00032,Bangalore,Data Science,LinkedIn,2025/02/28
L00033,Bangalore,AI/ML,Website,2025/06/19
L00034,,data science,LinkedIn,2025/01/15
L00035,Delhi,data science,Campus Drive,24-06-2025
L00036,Kolkata,,Campus Drive,2025/02/20
L00037,,Data Analytics,LinkedIn,2025/04/18
L00038,Delhi,AI ml,Instagram,2025/02/24
L00039,Mumbai,AI/ML,Website,2025/03/05
L00040,Pune,data science,Campus Drive,2025/05/11
L00041,Pune,AI ml,Email Campaign,2025/02/20
L00042,Ahmedabad,Business Analytics,Referral,2025/05/15
L00043,Bangalore,Business Analytics,LinkedIn,2025/01/21
L00044,Ahmedabad,AI/ML,Campus Drive,2025/03/14
L00045,,Data Analytics,Email Campaign,2025/06/16
L00046,Kolkata,Data Analytics,Campus Drive,18-01-2025
L00047,Kolkata,,instagram,2025/05/12
L00048,Mumbai,AI/ML,Email Campaign,2025/03/30
L00049,Hyderabad,Business Analytics,Email Campaign,2025/03/01
L00050,Kolkata,AI/ML,LinkedIn,2025/01/14
L00051,Kolkata,Data Science,instagram,2025/01/09
L00052,Kolkata,Data Analytics,,
L00053,Pune,data science,Email Campaign,2025/03/31
L00054,Hyderabad,Data Science,Linkedin,2025/02/22
L00055,Hyderabad,Business Analytics,Email Campaign,2025/05/10
L00056,Chennai,Data Analytics,Email Campaign,2025/03/25
L00057,,Business Analytics,Campus Drive,2025/04/02
L00058,,Business Analytics,Email Campaign,2025/04/21
L00059,Bangalore,Business Analytics,Campus Drive,2025/06/21
L00060,Kolkata,,Email Campaign,2025/01/08
L00061,Kolkata,Business Analytics,Instagram,2025/06/24
L00062,Chennai,Business Analytics,instagram,2025/02/04
L00063,Bangalore,Data Science,LinkedIn,2025/03/22
L00064,Hyderabad,Data Science,Email Campaign,13-06-2025
L00065,Mumbai,Data Science,,19-02-2025
L00066,Pune,Data Analytics,Website,2025/04/14
L00067,Kolkata,,Campus Drive,2025/05/12
L00068,,Data Analytics,Referral,2025/01/02
L00069,,,Linkedin,14-05-2025
L00070,Kolkata,,Email Campaign,23-02-2025
L00071,,AI/ML,Linkedin,2025/04/16
L00072,Mumbai,data science,Website,2025/01/04
L00073,,AI/ML,Website,2025/02/23
L00074,Delhi,AI/ML,,2025/05/26
L00075,Bangalore,,Email Campaign,2025/02/13
L00076,Chennai,,Linkedin,2025/06/11
L00077,Chennai,Data Analytics,Campus Drive,2025/01/14
L00078,Ahmedabad,,Referral,2025/04/05
L00079,Pune,AI ml,,2025/02/17
L00080,Bangalore,Business Analytics,instagram,2025/01/15
L00081,Kolkata,Business Analytics,Referral,2025/02/09
L00082,Delhi,,instagram,23-03-2025
L00083,Mumbai,Business Analytics,,2025/04/21
L00084,Ahmedabad,,Website,2025/02/22
L00085,Pune,AI ml,Website,2025/01/24
L00086,Pune,AI/ML,Campus Drive,2025/06/03
L00087,,,instagram,2025/05/04
L00088,Bangalore,AI/ML,Referral,2025/02/10
L00089,Delhi,AI ml,Referral,2025/06/06
L00090,Hyderabad,Data Science,Campus Drive,15-01-2025
L00091,Mumbai,Business Analytics,Linkedin,2025/02/14
L00092,Ahmedabad,AI ml,Website,2025/03/06
L00093,Kolkata,Data Science,LinkedIn,2025/03/30
L00094,Chennai,Business Analytics,Campus Drive,2025/03/12
L00095,Ahmedabad,AI ml,Linkedin,2025/01/09
L00096,,AI ml,Campus Drive,2025/03/29
L00097,Pune,data science,Linkedin,2025/05/09
L00098,Kolkata,data science,Referral,2025/05/16
L00099,Mumbai,data science,,2025/03/04
L00100,Delhi,Data Science,LinkedIn,2025/05/19
L00101,Hyderabad,AI ml,Linkedin,2025/03/22
L00102,,data science,instagram,2025/05/16
L00103,Kolkata,,LinkedIn,2025/06/12
L00104,Kolkata,data science,Referral,2025/06/12
L00105,Pune,Data Science,Email Campaign,2025/02/02
L00106,Bangalore,AI ml,,2025/05/03
L00107,,Business Analytics,Linkedin,2025/01/05
L00108,Pune,Data Analytics,instagram,2025/02/10
L00109,Ahmedabad,Business Analytics,Instagram,2025/01/28
L00110,,Data Analytics,Website,2025/05/15
L00111,Hyderabad,,Instagram,2025/03/13
L00112,Chennai,AI ml,Email Campaign,2025/01/12
L00113,Ahmedabad,Business Analytics,Website,2025/06/11
L00114,Hyderabad,Data Science,LinkedIn,02-02-2025
L00115,Delhi,,LinkedIn,2025/02/17
L00116,Pune,Business Analytics,Linkedin,2025/05/31
L00117,Hyderabad,,Instagram,03-03-2025
L00118,Bangalore,AI ml,,2025/02/06
L00119,,AI ml,instagram,2025/04/09
L00120,Chennai,Data Analytics,Instagram,2025/06/21
L00121,Delhi,,Referral,2025/04/14
L00122,Kolkata,AI ml,Referral,2025/02/04
L00123,Pune,Data Science,LinkedIn,2025/04/11
L00124,Ahmedabad,Business Analytics,Instagram,2025/06/24
L00125,,Data Analytics,instagram,2025/05/11
L00126,,,,2025/01/01
L00127,Pune,AI/ML,Linkedin,2025/01/05
L00128,Mumbai,Data Analytics,instagram,22-05-2025
L00129,Pune,Data Analytics,Campus Drive,2025/04/13
L00130,Mumbai,Data Science,instagram,27-01-2025
L00131,Kolkata,Data Science,Linkedin,2025/05/17
L00132,Delhi,,,2025/01/15
L00133,Chennai,AI/ML,,2025/03/31
L00134,Pune,Data Analytics,Referral,2025/02/11
L00135,Kolkata,,Referral,2025/05/04
L00136,,data science,Email Campaign,2025/06/28
L00137,,AI/ML,Linkedin,
L00138,Bangalore,,Website,2025/03/04
L00139,Hyderabad,Data Analytics,Website,2025/04/06
L00140,Kolkata,,Referral,2025/02/21
L00141,,Data Science,Instagram,2025/04/06
L00142,Mumbai,Data Science,Referral,2025/05/12
L00143,Kolkata,Business Analytics,,2025/05/31
L00144,,AI/ML,Referral,2025/05/23
L00145,Kolkata,data science,instagram,2025/06/20
L00146,Chennai,Data Analytics,,29-01-2025
L00147,Mumbai,AI/ML,Linkedin,2025/02/05
L00148,Pune,Data Science,Referral,
L00149,Ahmedabad,data science,LinkedIn,2025/01/13
L00150,Bangalore,Data Analytics,Referral,2025/06/09
